phv_id	PhenX_id	CDE_primary_name
phv00087505.v1.p3	PX090601030000	Intravascular systolic
phv00175587.v1.p3	PX090601030000	Intravascular systolic
phv00175601.v1.p3	PX090601030000	Intravascular systolic
phv00175862.v1.p3	PX090601030000	Intravascular systolic
phv00177021.v1.p3	PX090601030000	Intravascular systolic
phv00177035.v1.p3	PX090601030000	Intravascular systolic
phv00082600.v1.p1	PX090601030000	Intravascular systolic
phv00158672.v1.p1	PX090601030000	Intravascular systolic
phv00090515.v2.p1	PX090601030000	Intravascular systolic
phv00091518.v1.p1	PX090601030000	Intravascular systolic
phv00091542.v1.p1	PX090601030000	Intravascular systolic
phv00096782.v1.p1	PX090601030000	Intravascular systolic
phv00096813.v1.p1	PX090601030000	Intravascular systolic
phv00096841.v1.p1	PX090601030000	Intravascular systolic
phv00096874.v1.p1	PX090601030000	Intravascular systolic
phv00097978.v1.p1	PX090601030000	Intravascular systolic
phv00098086.v1.p1	PX090601030000	Intravascular systolic
phv00161397.v3.p3	PX090601030000	Intravascular systolic
phv00122561.v1.p1	PX090601030000	Intravascular systolic
phv00123844.v1.p1	PX090601030000	Intravascular systolic
phv00123854.v1.p1	PX090601030000	Intravascular systolic
phv00123864.v1.p1	PX090601030000	Intravascular systolic
phv00124246.v1.p1	PX090601030000	Intravascular systolic
phv00124248.v1.p1	PX090601030000	Intravascular systolic
phv00124250.v1.p1	PX090601030000	Intravascular systolic
phv00116135.v2.p2	PX090601030000	Intravascular systolic
phv00119238.v2.p2	PX090601030000	Intravascular systolic
phv00124606.v1.p1	PX090601030000	Intravascular systolic
phv00128370.v1.p1	PX090601030000	Intravascular systolic
phv00099358.v1.p1	PX090601030000	Intravascular systolic
phv00099361.v1.p1	PX090601030000	Intravascular systolic
phv00101775.v1.p1	PX090601030000	Intravascular systolic
phv00101961.v1.p1	PX090601030000	Intravascular systolic
phv00102463.v1.p1	PX090601030000	Intravascular systolic
phv00102574.v1.p1	PX090601030000	Intravascular systolic
phv00104010.v1.p1	PX090601030000	Intravascular systolic
phv00104023.v1.p1	PX090601030000	Intravascular systolic
phv00104687.v1.p1	PX090601030000	Intravascular systolic
phv00104697.v1.p1	PX090601030000	Intravascular systolic
phv00105425.v1.p1	PX090601030000	Intravascular systolic
phv00106787.v1.p1	PX090601030000	Intravascular systolic
phv00106794.v1.p1	PX090601030000	Intravascular systolic
